feature,importance
val_std,0.04793485864049061
valor_inicial,0.043827201387071905
val_promedio,0.04377253698287991
imp_promedio,0.04296330690662498
suma_impacto,0.0406458872323341
tfidf_ejecución,0.03791131043420733
tfidf_municipio,0.034060303155147
avg_longitud_mitigacion,0.03390130832336806
tfidf_demoras,0.0332938838804695
imp_std,0.032030652822335574
tfidf_obra,0.03073036135134892
tfidf_contrato,0.029864783595056656
tfidf_ejecución contrato,0.029717453516091896
tfidf_obras,0.02941577651489387
ipc_acumulado,0.029253910595824596
tfidf_contratista,0.02802634176113943
tfidf_riesgo,0.027177591315132286
tfidf_incumplimiento,0.02701176356732121
duracion,0.02654321136955957
tfidf_cambio,0.026496893584263385
tfidf_servicios,0.026119247064170976
tfidf_actividades,0.025574713189987344
tfidf_desarrollo,0.025145800178110973
tfidf_precios,0.024956803583450905
tfidf_calidad,0.02466628439976982
prop_tipo_Operacional,0.0237442355224196
prop_tipo_Regulatorio,0.022833967313261008
tfidf_ley,0.02265577343463716
tfidf_departamento,0.021060721635113733
trm_promedio,0.02008181506154313
tfidf_construccion,0.019613799789174123
prop_tipo_Riesgos Legales y Regulatorios,0.017250227403482712
anio_inicio,0.015885014829953404
prop_tipo_Cumplimiento,0.011450246972029144
anio_fin,0.010653117591938908
n_distinct_codes_mitigacion,0.007314927633815733
prop_asig_EDU y Contratista,0.004482278253390648
pct_riesgos_con_mitigacion,0.00193168920818998
